n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,precision,recall,f1,roc_auc,pr_auc
100,,5,1,sqrt,balanced_subsample,1.0,0.8513513513513513,0.9197080291970803,0.9992922187846593,0.991735747886073
100,,5,1,log2,balanced,0.9921875,0.8581081081081081,0.9202898550724637,0.9986318662074603,0.9854396397157121
100,,5,1,log2,balanced_subsample,1.0,0.7297297297297297,0.84375,0.998423909870994,0.9831510126035337
100,,5,2,sqrt,balanced,0.9241379310344827,0.9054054054054054,0.9146757679180887,0.9984020197303134,0.9824600095492546
100,,5,2,sqrt,balanced_subsample,0.9621212121212122,0.8581081081081081,0.9071428571428571,0.9970849629326951,0.9737125057772242
100,,5,2,log2,balanced,0.7590361445783133,0.8513513513513513,0.802547770700637,0.9881063568968537,0.8985150257460113
100,,5,2,log2,balanced_subsample,0.8527131782945736,0.7432432432432432,0.7942238267148014,0.9808643686883428,0.8806916128130605
100,,5,5,sqrt,balanced,0.8411764705882353,0.9662162162162162,0.89937106918239,0.9983947230167532,0.9819754342945428
100,,5,5,sqrt,balanced_subsample,0.900709219858156,0.8581081081081081,0.8788927335640139,0.99793867841924,0.9768152965593352
100,,5,5,log2,balanced,0.7844311377245509,0.8851351351351351,0.8317460317460318,0.9910432841048392,0.8994731238814068
100,,5,5,log2,balanced_subsample,0.7976190476190477,0.9054054054054054,0.8481012658227848,0.9890075010215398,0.9103921427067121
100,,10,1,sqrt,balanced,0.9851851851851852,0.8986486486486487,0.9399293286219081,0.999416262915183,0.9931403914165694
100,,10,1,sqrt,balanced_subsample,1.0,0.8716216216216216,0.9314079422382672,0.99897116338801,0.9885099837010392
100,,10,1,log2,balanced,0.9847328244274809,0.8716216216216216,0.9247311827956989,0.9985552507150779,0.9855031500646578
100,,10,1,log2,balanced_subsample,1.0,0.7567567567567568,0.8615384615384616,0.9976322164497109,0.9789151267916879
100,,10,2,sqrt,balanced,0.9025974025974026,0.9391891891891891,0.9205298013245033,0.9987048333430624,0.9858375891934905
100,,10,2,sqrt,balanced_subsample,0.9440559440559441,0.9121621621621622,0.9278350515463918,0.9985661957854182,0.9833649609882881
100,,10,2,log2,balanced,0.7558139534883721,0.8783783783783784,0.8125,0.9906893934971688,0.9006291735044105
100,,10,2,log2,balanced_subsample,0.8120805369127517,0.8175675675675675,0.8148148148148148,0.9801602358297823,0.8901675453497652
